timestamp,load_MW,CDP_bar,CDT_C,EGT_avg_C,EGT_spread_C,EGT_Z1_C,EGT_Z2_C,EGT_Z3_C,EGT_Z4_C,fuel_flow_kg_s,IGV_deg,vib_DE_mm_s,vib_NDE_mm_s,lube_oil_C,comb_dyn_psi,trip_active
2025-08-01 00:00:00,46.992,11.048,344.565,537.922,1.65,536.83,538.48,538.192,538.185,2.81,61.83,2.967,3.026,57.74,0.409,0
2025-08-01 00:10:00,46.752,11.04,344.262,539.43,4.524,536.442,540.966,540.016,540.295,2.8182,61.88,2.858,2.73,58.093,0.353,0
2025-08-01 00:20:00,47.175,11.07,344.407,540.287,3.136,539.546,539.827,542.456,539.32,2.8314,61.701,3.173,2.884,57.886,0.373,0
2025-08-01 00:30:00,46.713,11.035,343.941,537.945,2.084,537.723,539.374,537.29,537.394,2.7884,61.726,3.047,2.931,58.082,0.223,0
2025-08-01 00:40:00,46.979,11.049,344.176,539.151,4.073,536.907,538.636,540.98,540.08,2.8069,61.727,3.003,2.994,57.838,0.37,0
2025-08-01 00:50:00,46.665,11.03,343.782,537.214,2.459,536.458,536.523,538.917,536.956,2.8027,61.669,3.032,2.898,57.829,0.34,0
2025-08-01 01:00:00,46.603,11.067,343.65,537.505,5.148,539.764,534.616,537.601,538.039,2.8058,61.6,3.083,3.062,57.962,0.434,0
2025-08-01 01:10:00,46.734,11.052,344.084,538.21,2.37,539.045,539.198,537.77,536.828,2.7942,61.914,3.057,2.964,57.99,0.348,0
2025-08-01 01:20:00,46.685,11.036,343.707,538.92,2.66,539.236,540.373,537.713,538.356,2.8231,61.776,3.068,3.004,57.715,0.331,0
2025-08-01 01:30:00,46.671,11.044,344.005,538.414,1.054,538.114,538.974,538.649,537.92,2.7962,61.685,3.036,3.007,58.124,0.313,0
2025-08-01 01:40:00,47.137,11.074,344.411,539.148,0.525,539.068,539.153,539.447,538.922,2.8207,61.573,3.183,2.912,58.122,0.297,0
2025-08-01 01:50:00,46.91,11.05,343.74,539.778,1.351,539.933,539.581,539.124,540.475,2.8098,62.074,2.997,2.868,57.984,0.459,0
2025-08-01 02:00:00,47.026,11.093,344.221,537.398,4.378,537.055,540.264,536.386,535.886,2.8384,61.948,3.013,2.952,57.94,0.381,0
2025-08-01 02:10:00,46.81,11.033,343.915,537.34,3.871,536.437,537.22,535.915,539.786,2.8034,61.805,2.977,2.894,58.01,0.329,0
2025-08-01 02:20:00,46.85,11.058,343.957,539.214,0.343,539.12,539.401,539.275,539.058,2.8161,61.625,3.123,2.967,57.807,0.356,0
2025-08-01 02:30:00,46.984,11.07,344.271,539.63,1.246,540.235,539.311,539.984,538.989,2.8083,61.552,3.05,2.953,58.072,0.414,0
2025-08-01 02:40:00,46.683,11.047,344.223,538.784,1.84,538.61,537.847,538.993,539.687,2.8053,61.452,2.966,2.986,57.964,0.352,0
2025-08-01 02:50:00,46.596,11.071,344.046,537.96,2.343,536.722,538.24,537.815,539.065,2.7888,61.664,2.949,2.843,58.093,0.348,0
2025-08-01 03:00:00,46.982,11.099,344.212,540.134,1.779,540.131,540.618,539.005,540.784,2.8104,61.617,2.989,2.99,58.093,0.37,0
2025-08-01 03:10:00,46.735,11.101,344.172,538.923,3.032,539.753,538.255,540.358,537.326,2.804,61.499,3.068,3.004,58.027,0.27,0
2025-08-01 03:20:00,46.818,11.044,344.049,539.352,4.039,538.58,541.398,537.359,540.072,2.8134,61.722,3.028,2.943,57.957,0.291,0
