timestamp,load_MW,CDP_bar,CDT_C,EGT_avg_C,EGT_spread_C,EGT_Z1_C,EGT_Z2_C,EGT_Z3_C,EGT_Z4_C,fuel_flow_kg_s,IGV_deg,vib_DE_mm_s,vib_NDE_mm_s,lube_oil_C,comb_dyn_psi,trip_active
2026-01-08 00:00:00,47.042,11.064,344.305,539.004,4.656,540.915,538.249,540.593,536.259,2.8231,61.933,2.982,3.113,58.196,0.293,0
2026-01-08 00:01:00,46.668,11.094,343.266,538.369,1.929,537.223,538.853,539.152,538.248,2.8,61.797,3.237,2.98,58.005,0.265,0
2026-01-08 00:02:00,47.039,11.051,344.085,538.576,2.443,538.831,537.186,538.657,539.628,2.8252,61.669,3.044,2.825,57.998,0.309,0
2026-01-08 00:03:00,47.249,11.091,344.49,539.689,1.32,539.644,540.48,539.475,539.16,2.8324,61.767,3.011,2.907,57.99,0.279,0
2026-01-08 00:04:00,46.827,11.012,344.26,539.403,1.61,539.124,538.848,539.182,540.458,2.8145,61.669,3.193,3.044,57.865,0.285,0
2026-01-08 00:05:00,46.821,11.083,343.952,538.614,5.07,539.131,535.904,540.975,538.446,2.8087,61.873,3.105,2.976,57.938,0.321,0
2026-01-08 00:06:00,46.618,11.019,343.992,538.159,2.31,539.267,538.109,538.303,536.957,2.7942,61.701,3.175,2.992,57.886,0.433,0
2026-01-08 00:07:00,46.831,11.049,343.722,538.596,2.075,540.062,537.987,538.028,538.309,2.8147,61.299,2.971,2.993,58.027,0.293,0
2026-01-08 00:08:00,47.015,11.044,344.175,539.331,4.149,541.946,537.952,539.63,537.797,2.822,61.738,3.061,2.889,57.911,0.377,0
2026-01-08 00:09:00,46.932,11.034,344.491,538.521,1.86,539.345,539.202,538.052,537.485,2.8054,61.789,3.025,2.75,57.954,0.296,0
2026-01-08 00:10:00,46.846,11.041,344.01,538.79,1.484,538.566,539.452,539.175,537.968,2.8206,61.413,3.036,2.927,57.704,0.391,0
2026-01-08 00:11:00,46.923,11.102,344.012,539.126,3.687,540.77,537.083,539.231,539.42,2.8061,61.703,3.063,2.958,57.837,0.347,0
2026-01-08 00:12:00,46.905,11.01,344.446,538.775,1.392,538.905,539.407,538.015,538.773,2.802,61.782,3.067,3.176,57.928,0.422,0
2026-01-08 00:13:00,46.89,11.072,344.375,538.654,2.11,538.449,539.151,537.454,539.564,2.8004,61.688,3.069,2.919,57.828,0.334,0
2026-01-08 00:14:00,46.601,11.034,343.727,538.468,2.015,538.773,539.642,537.83,537.627,2.8087,61.837,3.068,2.94,57.973,0.291,0
2026-01-08 00:15:00,47.176,11.069,344.215,538.797,2.108,539.387,537.622,539.73,538.447,2.8382,61.859,3.072,3.001,57.97,0.337,0
2026-01-08 00:16:00,46.747,11.019,344.28,537.585,4.935,535.357,536.848,540.292,537.842,2.81,61.753,2.977,2.859,57.904,0.374,0
2026-01-08 00:17:00,46.611,11.074,343.691,538.268,2.127,539.28,537.153,537.577,539.06,2.8172,61.599,3.101,2.93,57.907,0.299,0
2026-01-08 00:18:00,47.017,11.038,344.145,539.424,3.199,539.71,541.25,538.051,538.687,2.8169,61.653,3.048,2.817,57.925,0.379,0
2026-01-08 00:19:00,47.176,11.086,344.395,539.25,2.446,540.527,539.321,539.069,538.081,2.821,61.816,2.998,2.913,57.803,0.336,0
2026-01-08 00:20:00,46.917,11.022,344.081,538.659,1.416,537.805,539.221,539.189,538.422,2.8114,61.875,3.047,3.083,58.002,0.316,0
2026-01-08 00:21:00,47.236,11.095,344.681,538.823,1.292,538.269,538.888,538.576,539.561,2.801,61.759,2.962,2.867,58.103,0.285,0
2026-01-08 00:22:00,46.866,11.034,344.083,539.177,2.606,538.4,539.257,540.83,538.224,2.8004,61.525,2.983,2.794,57.768,0.379,0
2026-01-08 00:23:00,46.962,11.059,344.424,538.689,3.424,536.934,538.801,540.358,538.66,2.803,61.629,2.975,2.993,57.969,0.459,0
2026-01-08 00:24:00,47.0,11.035,344.163,538.868,3.111,540.703,538.036,539.143,537.592,2.8234,61.793,3.013,2.95,57.931,0.344,0
2026-01-08 00:25:00,46.665,10.989,344.206,538.425,3.082,536.638,539.152,539.72,538.191,2.7974,61.67,3.037,2.862,57.876,0.292,0
